,PSNR %,SSIM %,Delta E %
Static LUT,3.6787463281445776,0.7439389121266545,13.192091614359045
gamma,0.8938624554500525,-11.119043350219727,-0.5133035778999329
histogram,-10.759827257601144,-19.835020065307617,-18.161640167236328
clahe,-12.43847341637485,-24.07485580444336,-18.027353286743164
combined,-15.534562193546689,-24.918428421020508,-25.92502784729004
