Method,PSNR,SSIM,Delta E,Time (ms),Memory (MB)
Original,19.24574712553106,0.6961938738822937,10.723697662353516,—,—
Static LUT,19.953749341235525,0.701373131013946,9.30901764228896,18.4,0.5
gamma,19.41777763335704,0.6187837719917297,10.778742790222168,716.7,77.1
histogram,17.17493798038918,0.5581036806106567,12.671297073364258,1262.9,-28.2
clahe,16.851869985539153,0.528586208820343,12.656896591186523,1217.7,2.8
combined,16.256004568702714,0.522713303565979,13.503819465637209,1936.3,23.9
