Method,PSNR,SSIM,Delta E,Time (ms)
Original,19.088854331944816,0.6907092928886414,10.730356216430664,—
MobileNetV2+LUT,19.023799130946152,0.6831928491592407,10.430694580078125,65.8
gamma,19.41777763335704,0.6187837719917297,10.778742790222168,716.7
histogram,17.17493798038918,0.5581036806106567,12.671297073364258,1262.9
clahe,16.851869985539153,0.528586208820343,12.656896591186523,1217.7
combined,16.256004568702714,0.522713303565979,13.503819465637209,1936.3
Adaptive LUT,20.341725284417866,0.7104125022888184,9.493292808532717,25.7
Static LUT,19.953749341235525,0.701373131013946,9.30901764228896,18.4
