Method,Type,PSNR,SSIM,Delta E,Time (ms),Params (M),PSNR % vs Orig,SSIM % vs Orig,Delta E % vs Orig
Original,Reference,19.24574712553106,0.6961938738822937,10.723697662353516,—,0.0,+0.00%,+0.00%,+0.00%
Gamma,Classic,19.41777763335704,0.6187837719917297,10.778742790222168,716.7299509048462,0.0,+0.89%,-11.12%,-0.51%
Histogram,Classic,17.17493798038918,0.5581036806106567,12.671297073364258,1262.8837823867798,0.0,-10.76%,-19.84%,-18.16%
CLAHE,Classic,16.851869985539153,0.528586208820343,12.656896591186523,1217.7006721496582,0.0,-12.44%,-24.07%,-18.03%
Combined,Classic,16.256004568702714,0.522713303565979,13.503819465637209,1936.323165893555,0.0,-15.53%,-24.92%,-25.93%
Static LUT,LUT-based,19.953749341235525,0.701373131013946,9.30901764228896,18.4,0.1,+3.68%,+0.74%,+13.19%
Adaptive LUT,LUT-based,20.340648482281612,0.7101848125457764,9.4979887008667,19.5,11.4,+5.69%,+2.01%,+11.43%
MobileNetV2+LUT,LUT-based,19.023799130946152,0.6831928491592407,10.430694580078123,65.8,3.1,-1.15%,-1.87%,+2.73%
