,psnr,ssim,delta_e,avg_time,avg_memory
gamma,18.58415959640894,0.6806726455688477,11.604999542236328,0.005652838945388794,-0.019125
histogram,17.335814805100352,0.6331851482391357,12.391132354736328,0.01027078366279602,-0.10290625
clahe,16.374640349962323,0.584035336971283,13.117260932922363,0.010639999628067016,-0.056703125
combined,15.905922556232767,0.5905497074127197,14.13206672668457,0.015689085245132448,-0.08365625
